processed_at,received_at,row,strategy_code,previous_target,target,e_net,f_net,total,bull_baseline,bear_baseline,baseline_initialized,reason
2026-09-23T11:28:37.796482,2026-09-23T11:28:36,1066,CFCTX18m,0,0,2,2,4,5,0,True,多方共識存在，但TOTAL尚未突破08:45前基準
2026-09-23T13:20:38.967389,2026-09-23T13:20:38,1067,CFCTX17m,0,0,0,2,2,6,0,False,共識退出
2026-09-23T19:46:04.044376,2026-09-23T19:46:02,1068,CFCTX22m,0,0,0,3,3,6,0,False,共識退出
2026-09-23T21:33:19.517242,2026-09-23T21:33:18,1069,CFCTX18m,0,0,-1,3,2,6,0,False,共識退出
2026-09-23T21:46:56.882523,2026-09-23T21:46:56,1070,CFCWIN01m,0,0,-1,2,1,6,0,False,共識退出
2026-09-23T22:20:02.884125,2026-09-23T22:20:01,1071,CFCTX18m,0,0,0,2,2,6,0,False,共識退出
2026-09-24T00:50:35.379746,2026-09-24T00:50:34,1072,CFCTX20m,0,0,-1,2,1,6,0,False,共識退出
2026-09-24T01:02:20.164742,2026-09-24T01:02:19,1073,CFCTX22m,0,0,-1,1,0,0,0,False,01:00～08:45只更新E/F，不建立影子部位
2026-09-24T01:02:56.325787,2026-09-24T01:02:54,1074,CFCTX23m,0,0,-1,0,-1,0,0,False,01:00～08:45只更新E/F，不建立影子部位
2026-09-24T09:35:04.591414,2026-09-24T09:35:02,1075,CFCTX23m,0,0,-1,1,0,0,1,False,共識退出
2026-09-24T10:00:02.911600,2026-09-24T10:00:02,1076,CFCTX17m,0,0,0,1,1,0,1,False,共識退出
2026-09-24T10:00:12.972319,2026-09-24T10:00:12,1077,CFC07m,0,0,1,1,2,0,1,False,共識退出
2026-09-24T10:00:23.028059,2026-09-24T10:00:21,1078,CFCTX16m,0,0,1,2,3,0,1,False,共識退出
2026-09-24T12:55:09.389479,2026-09-24T12:55:08,1079,CFCCPm,0,0,1,1,2,0,1,False,共識退出
2026-09-24T13:02:05.396858,2026-09-24T13:02:05,1080,CFCTX17m,0,0,2,1,3,0,1,False,共識退出
2026-09-24T16:27:17.269859,2026-09-24T16:27:15,1081,CFCTX16m,0,0,2,0,2,0,1,False,共識退出
2026-09-24T17:31:17.840183,2026-09-24T17:31:16,1082,CFC07m,0,0,1,0,1,0,1,False,共識退出
2026-09-24T21:34:37.639876,2026-09-24T21:34:35,1083,CFCTX21m,0,0,2,0,2,0,1,False,共識退出
2026-09-24T23:16:08.608215,2026-09-24T23:16:08,1084,CFC07m,0,0,1,0,1,0,1,False,共識退出
2026-09-24T23:16:18.669266,2026-09-24T23:16:17,1085,CFCTX16m,0,0,1,-1,0,0,1,False,共識退出
2026-09-25T00:16:43.954867,2026-09-25T00:16:42,1086,CFCTX16m,0,0,1,0,1,0,1,False,共識退出
2026-09-25T00:16:52.002690,2026-09-25T00:16:51,1087,CFC07m,0,0,2,0,2,0,1,False,共識退出
2026-09-25T00:17:00.055941,2026-09-25T00:16:59,1088,CFCCPm,0,0,2,1,3,0,1,False,共識退出
2026-09-25T03:20:05.363053,2026-09-25T03:20:04,1089,CFCCPm,0,0,2,0,2,0,0,False,01:00～08:45只更新E/F，不建立影子部位
