received_at,event_key,source,action,previous_position,new_position,raw_message
2026-07-31 21:40:00,backfill:h3csv:1677,TradingView H3 CSV補錄,初始空單,,-1,H3 CSV補錄：空1口，成交價43031
2026-08-03 09:24:00,backfill:h3csv:1679,TradingView H3 CSV補錄,空單平倉並轉多,-1,1,H3 CSV補錄：多1口，成交價43409
2026-08-04 15:02:00,backfill:h3csv:1681,TradingView H3 CSV補錄,多單平倉並轉空,1,-1,H3 CSV補錄：空1口，成交價43448
2026-08-04 19:29:00,backfill:h3csv:1683,TradingView H3 CSV補錄,空單平倉並轉多,-1,1,H3 CSV補錄：多1口，成交價43872
2026-08-07 08:47:00,backfill:h3csv:1685,TradingView H3 CSV補錄,多單平倉並轉空,1,-1,H3 CSV補錄：空1口，成交價44530
2026-08-07 15:02:00,backfill:h3csv:1687,TradingView H3 CSV補錄,空單平倉並轉多,-1,1,H3 CSV補錄：多1口，成交價44450
2026-08-10 15:02:00,backfill:h3csv:1689,TradingView H3 CSV補錄,多單平倉並轉空,1,-1,H3 CSV補錄：空1口，成交價45026
2026-08-11 08:47:00,backfill:h3csv:1691,TradingView H3 CSV補錄,空單平倉並轉多,-1,1,H3 CSV補錄：多1口，成交價44825
2026-08-13 10:34:00,backfill:h3csv:1693,TradingView H3 CSV補錄,多單平倉並轉空,1,-1,H3 CSV補錄：空1口，成交價45846
2026-08-13 15:02:00,backfill:h3csv:1695,TradingView H3 CSV補錄,空單平倉並轉多,-1,1,H3 CSV補錄：多1口，成交價45989
2026-08-14 08:47:00,backfill:h3csv:1697,TradingView H3 CSV補錄,多單平倉並轉空,1,-1,H3 CSV補錄：空1口，成交價46406
2026-08-14 15:02:00,backfill:h3csv:1699,TradingView H3 CSV補錄,空單平倉並轉多,-1,1,H3 CSV補錄：多1口，成交價45888
2026-08-17 15:02:00,backfill:h3csv:1701,TradingView H3 CSV補錄,多單平倉並轉空,1,-1,H3 CSV補錄：空1口，成交價45969
2026-08-17 22:48:00,backfill:h3csv:1703,TradingView H3 CSV補錄,空單平倉並轉多,-1,1,H3 CSV補錄：多1口，成交價46169
2026-08-18 09:51:00,backfill:h3csv:1705,TradingView H3 CSV補錄,多單平倉並轉空,1,-1,H3 CSV補錄：空1口，成交價45502
2026-08-19 08:47:00,backfill:h3csv:1707,TradingView H3 CSV補錄,空單平倉並轉多,-1,1,H3 CSV補錄：多1口，成交價44378
2026-08-19 22:11:00,backfill:h3csv:1709,TradingView H3 CSV補錄,多單平倉並轉空,1,-1,H3 CSV補錄：空1口，成交價44602
2026-08-20 23:04:00,backfill:h3csv:1711,TradingView H3 CSV補錄,空單平倉並轉多,-1,1,H3 CSV補錄：多1口，成交價44942
2026-08-21 15:02:00,backfill:h3csv:1713,TradingView H3 CSV補錄,多單平倉並轉空,1,-1,H3 CSV補錄：空1口，成交價45207
2026-08-24 19:38:00,backfill:h3csv:1715,TradingView H3 CSV補錄,空單平倉並轉多,-1,1,H3 CSV補錄：多1口，成交價44955
2026-08-24 21:43:11,-5142580280:368134,浩克3V3,多單平倉並轉空,1,-1,"期權醫生-浩克3
浩克3V3訊號通知
小型台指近一訊號部位為: 空1口
From:"
2026-08-25 11:33:28,-5142580280:368364,浩克3V3,空單平倉並轉多,-1,1,"期權醫生-浩克3
浩克3V3訊號通知
小型台指近一訊號部位為: 多1口
From:"
2026-08-25 15:01:27,-5142580280:368493,浩克3V3,多單平倉並轉空,1,-1,"期權醫生-浩克3
浩克3V3訊號通知
小型台指近一訊號部位為: 空1口
From:"
2026-08-25 17:42:10,-5142580280:368845,浩克3V3,空單平倉並轉多,-1,1,"期權醫生-浩克3
浩克3V3訊號通知
小型台指近一訊號部位為: 多1口
From:"
2026-08-26 09:00:14,-5142580280:369054,浩克3V3,多單平倉並轉空,1,-1,"期權醫生-浩克3
浩克3V3訊號通知
小型台指近一訊號部位為: 空1口
From:"
2026-08-26 09:55:32,-5142580280:369104,浩克3V3,空單平倉並轉多,-1,1,"期權醫生-浩克3
浩克3V3訊號通知
小型台指近一訊號部位為: 多1口
From:"
2026-08-27 12:41:48,-5142580280:370015,浩克3V3,多單平倉並轉空,1,-1,"期權醫生-浩克3
浩克3V3訊號通知
小型台指近一訊號部位為: 空1口
From:"
2026-08-27 16:30:28,-5142580280:370200,浩克3V3,空單平倉並轉多,-1,1,"期權醫生-浩克3
浩克3V3訊號通知
小型台指近一訊號部位為: 多1口
From:"
