time,mode,event,details
2026-09-14T21:35:43.757962,live,intent,"{""key"": ""2026-09-12T04:59:00/flat"", ""status"": ""pending"", ""target"": 0, ""contract"": ""TMFR1"", ""at"": ""2026-09-14T21:35:43.736428""}"
2026-09-14T21:35:48.598017,live,confirmed,"{""target"": 0, ""quantity"": 0, ""contract"": ""TMFR1"", ""key"": ""2026-09-12T04:59:00/flat""}"
2026-09-14T21:40:44.608838,live,intent,"{""key"": ""signal/2026-09-14T21:40:44.584386/0"", ""status"": ""pending"", ""target"": 0, ""contract"": ""TMFR1"", ""at"": ""2026-09-14T21:40:44.596979""}"
2026-09-14T21:40:46.259076,live,confirmed,"{""target"": 0, ""quantity"": 0, ""contract"": ""TMFR1"", ""key"": ""signal/2026-09-14T21:40:44.584386/0""}"
2026-09-14T21:45:45.086908,live,intent,"{""key"": ""signal/2026-09-14T21:45:45.046465/0"", ""status"": ""pending"", ""target"": 0, ""contract"": ""TMFR1"", ""at"": ""2026-09-14T21:45:45.066692""}"
2026-09-14T21:45:46.916936,live,confirmed,"{""target"": 0, ""quantity"": 0, ""contract"": ""TMFR1"", ""key"": ""signal/2026-09-14T21:45:45.046465/0""}"
2026-09-14T21:50:45.877237,live,intent,"{""key"": ""signal/2026-09-14T21:50:45.852618/0"", ""status"": ""pending"", ""target"": 0, ""contract"": ""TMFR1"", ""at"": ""2026-09-14T21:50:45.866863""}"
2026-09-14T21:50:47.914802,live,confirmed,"{""target"": 0, ""quantity"": 0, ""contract"": ""TMFR1"", ""key"": ""signal/2026-09-14T21:50:45.852618/0""}"
2026-09-14T21:52:43.796878,live,confirmed,"{""target"": 0, ""quantity"": 0, ""contract"": ""TMFR1"", ""key"": ""signal/2026-09-14T21:52:39.911424/0""}"
2026-09-14T21:57:41.797179,live,confirmed,"{""target"": 0, ""quantity"": 0, ""contract"": ""TMFR1"", ""key"": ""signal/2026-09-14T21:57:40.195398/0""}"
2026-09-14T22:02:41.828444,live,confirmed,"{""target"": 0, ""quantity"": 0, ""contract"": ""TMFR1"", ""key"": ""signal/2026-09-14T22:02:40.203694/0""}"
