setup,entry_time,exit_time,entry_price,exit_price,points,gross_points,reason,tx_bvav,mtx_bvav,mtx_tbta,mtx_bvav_avg,ma960,dist_to_ma960,ma960_slope_15
super_long,2026-04-30 15:09:00,2026-04-30 15:39:00,39474.0,39540.0,63.0,66.0,max hold,191.0,173.0,-305.0,-800.0,39461.7875,12.212500000001455,1.2468749999970896
super_long,2026-04-30 15:42:00,2026-04-30 16:06:00,39522.0,39646.0,121.0,124.0,take profit,276.0,502.0,-877.0,462.0,39463.234375,58.765625,0.5239583333022892
super_long,2026-04-30 21:51:00,2026-04-30 21:57:00,39634.0,39558.0,-79.0,-76.0,stop loss,227.0,1128.0,-1934.0,1445.0,39575.0791666667,58.920833333300834,5.472916666702076
super_long,2026-04-30 22:07:00,2026-04-30 22:08:00,39612.0,39545.0,-70.0,-67.0,stop loss,63.0,321.0,-1265.0,576.0,39579.7791666667,32.22083333329647,4.413541666704987
super_long,2026-04-30 22:24:00,2026-04-30 22:39:00,39621.0,39553.0,-71.0,-68.0,stop loss,86.0,65.0,-920.0,-7.0,39583.315625,37.68437499999709,3.110416666706442
shakeout_long,2026-05-04 23:17:00,2026-05-04 23:19:00,40830.0,40757.0,-76.0,-73.0,stop loss,681.0,2365.0,2692.0,2521.0,40774.9885416667,55.011458333297924,13.150000000001455
super_long,2026-05-05 09:27:00,2026-05-05 09:29:00,40933.0,40867.0,-69.0,-66.0,stop loss,288.0,1522.0,-650.0,1823.0,40898.1229166667,34.87708333329647,0.4729166667020763
shakeout_long,2026-05-06 12:58:00,2026-05-06 13:18:00,41423.0,41543.0,117.0,120.0,take profit,395.0,77.0,2263.0,-256.0,41368.7395833333,54.26041666670062,4.837500000001455
shakeout_long,2026-05-06 15:14:00,2026-05-06 15:44:00,41443.0,41496.0,50.0,53.0,max hold,147.0,285.0,108.0,403.0,41392.1447916667,50.855208333297924,5.961458333404153
shakeout_long,2026-05-07 20:27:00,2026-05-07 20:57:00,42297.0,42283.0,-17.0,-14.0,max hold,10.0,298.0,1970.0,73.0,42238.6697916667,58.33020833329647,4.84375
shakeout_long,2026-05-12 11:00:00,2026-05-12 11:02:00,42081.0,42037.0,-47.0,-44.0,close below ma960,273.0,162.0,2090.0,-589.0,42054.7979166667,26.202083333300834,1.8343749999985448
shakeout_long,2026-05-12 11:07:00,2026-05-12 11:37:00,42085.0,42117.0,29.0,32.0,max hold,350.0,154.0,2087.0,-209.0,42055.7666666667,29.233333333300834,2.2270833333968767
shakeout_long,2026-05-12 11:46:00,2026-05-12 12:05:00,42094.0,42218.0,121.0,124.0,take profit,315.0,495.0,1404.0,265.0,42062.9802083333,31.019791666702076,2.7937499999970896
shakeout_long,2026-05-12 12:12:00,2026-05-12 12:42:00,42130.0,42230.0,97.0,100.0,max hold,170.0,702.0,1070.0,703.0,42070.7364583333,59.26354166670353,5.133333333295013
shakeout_long,2026-05-12 12:52:00,2026-05-12 12:56:00,42122.0,42086.0,-39.0,-36.0,close below ma960,78.0,523.0,942.0,965.0,42085.6260416667,36.373958333300834,5.645833333401242
shakeout_long,2026-05-12 13:04:00,2026-05-12 13:09:00,42116.0,42088.0,-31.0,-28.0,close below ma960,10.0,203.0,1491.0,647.0,42089.1947916667,26.80520833330229,4.493749999994179
shakeout_long,2026-05-12 13:10:00,2026-05-12 13:11:00,42092.0,42081.0,-14.0,-11.0,close below ma960,31.0,34.0,1451.0,406.0,42091.003125,0.9968749999970896,4.368750000001455
super_long,2026-05-18 12:27:00,2026-05-18 12:41:00,40771.0,40905.0,131.0,134.0,take profit,882.0,2025.0,-2308.0,2316.0,40721.8114583333,49.188541666699166,3.435416666601668
super_long,2026-05-18 13:31:00,2026-05-18 15:00:00,40789.0,40946.0,154.0,157.0,take profit,635.0,1612.0,-2282.0,2015.0,40732.978125,56.021874999998545,2.2427083333022892
super_long,2026-05-20 09:23:00,2026-05-20 09:26:00,40377.0,40303.0,-77.0,-74.0,stop loss,197.0,59.0,-279.0,75.0,40327.0489583333,49.95104166670353,1.5072916665958473
super_long,2026-05-20 09:54:00,2026-05-20 10:23:00,40385.0,40507.0,119.0,122.0,take profit,109.0,237.0,-635.0,-306.0,40326.2697916667,58.730208333297924,0.5843749999985448
super_long,2026-05-20 10:29:00,2026-05-20 10:30:00,40380.0,40313.0,-70.0,-67.0,stop loss,247.0,519.0,-1141.0,420.0,40331.0302083333,48.969791666699166,2.864583333299379
super_long,2026-05-20 15:10:00,2026-05-20 15:40:00,40331.0,40405.0,71.0,74.0,max hold,233.0,126.0,-389.0,-618.0,40279.4979166667,51.50208333329647,0.3322916667020763
shakeout_long,2026-05-21 18:30:00,2026-05-21 19:00:00,41292.0,41316.0,21.0,24.0,max hold,205.0,354.0,1505.0,1541.0,41235.0322916667,56.967708333300834,13.22604166669771
shakeout_long,2026-05-21 19:02:00,2026-05-21 19:32:00,41307.0,41396.0,86.0,89.0,max hold,222.0,433.0,2149.0,586.0,41256.1125,50.88749999999709,9.567708333299379
shakeout_long,2026-05-21 19:55:00,2026-05-21 20:25:00,41342.0,41320.0,-25.0,-22.0,max hold,472.0,949.0,2042.0,891.0,41285.1104166667,56.889583333300834,7.497916666696256
shakeout_long,2026-05-21 20:26:00,2026-05-21 20:56:00,41302.0,41328.0,23.0,26.0,max hold,302.0,720.0,2306.0,785.0,41297.9489583333,4.051041666702076,5.385416666598758
shakeout_long,2026-05-21 20:58:00,2026-05-21 21:24:00,41324.0,41320.0,-7.0,-4.0,close below ma960,483.0,598.0,2373.0,990.0,41310.7677083333,13.232291666703532,5.779166666594392
shakeout_long,2026-05-21 21:26:00,2026-05-21 21:27:00,41329.0,41322.0,-10.0,-7.0,close below ma960,498.0,657.0,2440.0,772.0,41322.3583333333,6.641666666699166,6.621875000004366
shakeout_long,2026-05-21 21:28:00,2026-05-21 21:31:00,41342.0,41313.0,-32.0,-29.0,close below ma960,453.0,600.0,2448.0,745.0,41323.371875,18.62812500000291,6.875
shakeout_long,2026-05-21 21:32:00,2026-05-21 21:51:00,41343.0,41466.0,120.0,123.0,take profit,532.0,738.0,2457.0,754.0,41325.3208333333,17.67916666669771,7.12812500000291
shakeout_long,2026-05-21 22:20:00,2026-05-21 22:38:00,41372.0,41502.0,127.0,130.0,take profit,704.0,1525.0,1843.0,2179.0,41355.221875,16.77812499999709,9.552083333299379
shakeout_long,2026-05-21 22:48:00,2026-05-21 23:08:00,41409.0,41356.0,-56.0,-53.0,close below ma960,621.0,1502.0,2088.0,1520.0,41370.0291666667,38.97083333329647,8.244791666700621
shakeout_long,2026-05-21 23:09:00,2026-05-21 23:39:00,41387.0,41478.0,88.0,91.0,max hold,446.0,686.0,2647.0,1197.0,41380.3385416667,6.661458333299379,7.160416666702076
