entry_time,exit_time,side,entry_price,exit_price,points,net_points,reason
2026-04-29 13:41:00,2026-04-29 15:32:00,bull,39489.0,39543.0,54.0,51.0,mtx_bvav_avg sign flip
2026-04-29 15:32:00,2026-04-29 15:37:00,bear,39543.0,39511.0,32.0,29.0,mtx_bvav_avg sign flip
2026-04-29 15:37:00,2026-04-29 15:54:00,bull,39511.0,39450.0,-61.0,-64.0,mtx_bvav_avg sign flip
2026-04-29 15:54:00,2026-04-29 18:24:00,bear,39450.0,39515.0,-65.0,-68.0,mtx_bvav_avg sign flip
2026-04-29 18:24:00,2026-04-29 21:54:00,bull,39515.0,39381.0,-134.0,-137.0,mtx_bvav_avg sign flip
2026-04-29 21:54:00,2026-04-29 22:09:00,bear,39381.0,39342.0,39.0,36.0,mtx_bvav_avg sign flip
2026-04-29 22:09:00,2026-04-30 09:12:00,bull,39342.0,39654.0,312.0,309.0,mtx_bvav_avg sign flip
2026-04-30 09:12:00,2026-04-30 10:19:00,bear,39654.0,39734.0,-80.0,-83.0,mtx_bvav_avg sign flip
2026-04-30 10:19:00,2026-04-30 10:34:00,bull,39734.0,39564.0,-170.0,-173.0,mtx_bvav_avg sign flip
2026-04-30 10:34:00,2026-04-30 15:22:00,bear,39564.0,39495.0,69.0,66.0,mtx_bvav_avg sign flip
2026-04-30 15:22:00,2026-04-30 22:25:00,bull,39495.0,39621.0,126.0,123.0,mtx_bvav_avg sign flip
2026-04-30 22:25:00,2026-04-30 22:46:00,bear,39621.0,39641.0,-20.0,-23.0,mtx_bvav_avg sign flip
2026-04-30 22:46:00,2026-05-06 09:57:00,bull,39641.0,41410.0,1769.0,1766.0,mtx_bvav_avg sign flip
2026-05-06 09:57:00,2026-05-06 15:06:00,bear,41410.0,41473.0,-63.0,-66.0,mtx_bvav_avg sign flip
2026-05-06 15:06:00,2026-05-07 09:05:00,bull,41473.0,42086.0,613.0,610.0,mtx_bvav_avg sign flip
2026-05-07 09:05:00,2026-05-07 09:47:00,bear,42086.0,42377.0,-291.0,-294.0,mtx_bvav_avg sign flip
2026-05-07 09:47:00,2026-05-07 16:49:00,bull,42377.0,42333.0,-44.0,-47.0,mtx_bvav_avg sign flip
2026-05-07 16:49:00,2026-05-07 18:02:00,bear,42333.0,42267.0,66.0,63.0,mtx_bvav_avg sign flip
2026-05-07 18:02:00,2026-05-07 21:46:00,bull,42267.0,42015.0,-252.0,-255.0,mtx_bvav_avg sign flip
2026-05-07 21:46:00,2026-05-08 09:07:00,bear,42015.0,42171.0,-156.0,-159.0,mtx_bvav_avg sign flip
2026-05-08 09:07:00,2026-05-08 10:17:00,bull,42171.0,41828.0,-343.0,-346.0,mtx_bvav_avg sign flip
2026-05-08 10:17:00,2026-05-08 17:08:00,bear,41828.0,41885.0,-57.0,-60.0,mtx_bvav_avg sign flip
2026-05-08 17:08:00,2026-05-08 17:59:00,bull,41885.0,41703.0,-182.0,-185.0,mtx_bvav_avg sign flip
2026-05-08 17:59:00,2026-05-08 18:45:00,bear,41703.0,41767.0,-64.0,-67.0,mtx_bvav_avg sign flip
2026-05-08 18:45:00,2026-05-08 18:50:00,bull,41767.0,41740.0,-27.0,-30.0,mtx_bvav_avg sign flip
2026-05-08 18:50:00,2026-05-08 19:41:00,bear,41740.0,41768.0,-28.0,-31.0,mtx_bvav_avg sign flip
2026-05-08 19:41:00,2026-05-11 09:16:00,bull,41768.0,41978.0,210.0,207.0,mtx_bvav_avg sign flip
2026-05-11 09:16:00,2026-05-11 11:46:00,bear,41978.0,42140.0,-162.0,-165.0,mtx_bvav_avg sign flip
2026-05-11 11:46:00,2026-05-11 13:40:00,bull,42140.0,42002.0,-138.0,-141.0,mtx_bvav_avg sign flip
2026-05-11 13:40:00,2026-05-11 15:22:00,bear,42002.0,41917.0,85.0,82.0,mtx_bvav_avg sign flip
2026-05-11 15:22:00,2026-05-11 16:19:00,bull,41917.0,41834.0,-83.0,-86.0,mtx_bvav_avg sign flip
2026-05-11 16:19:00,2026-05-11 17:40:00,bear,41834.0,41884.0,-50.0,-53.0,mtx_bvav_avg sign flip
2026-05-11 17:40:00,2026-05-12 09:28:00,bull,41884.0,41934.0,50.0,47.0,mtx_bvav_avg sign flip
2026-05-12 09:28:00,2026-05-12 11:11:00,bear,41934.0,42118.0,-184.0,-187.0,mtx_bvav_avg sign flip
2026-05-12 11:11:00,2026-05-12 13:22:00,bull,42118.0,42008.0,-110.0,-113.0,mtx_bvav_avg sign flip
2026-05-12 13:22:00,2026-05-12 15:22:00,bear,42008.0,41675.0,333.0,330.0,mtx_bvav_avg sign flip
2026-05-12 15:22:00,2026-05-12 17:09:00,bull,41675.0,41510.0,-165.0,-168.0,mtx_bvav_avg sign flip
2026-05-12 17:09:00,2026-05-12 17:53:00,bear,41510.0,41584.0,-74.0,-77.0,mtx_bvav_avg sign flip
2026-05-12 17:53:00,2026-05-12 18:02:00,bull,41584.0,41568.0,-16.0,-19.0,mtx_bvav_avg sign flip
2026-05-12 18:02:00,2026-05-13 12:00:00,bear,41568.0,41416.0,152.0,149.0,mtx_bvav_avg sign flip
2026-05-13 12:00:00,2026-05-13 15:18:00,bull,41416.0,41418.0,2.0,-1.0,mtx_bvav_avg sign flip
2026-05-13 15:18:00,2026-05-13 16:16:00,bear,41418.0,41621.0,-203.0,-206.0,mtx_bvav_avg sign flip
2026-05-13 16:16:00,2026-05-13 16:55:00,bull,41621.0,41505.0,-116.0,-119.0,mtx_bvav_avg sign flip
2026-05-13 16:55:00,2026-05-13 22:32:00,bear,41505.0,41551.0,-46.0,-49.0,mtx_bvav_avg sign flip
2026-05-13 22:32:00,2026-05-13 23:34:00,bull,41551.0,41519.0,-32.0,-35.0,mtx_bvav_avg sign flip
2026-05-13 23:34:00,2026-05-13 23:58:01,bear,41519.0,41519.0,0.0,-3.0,mtx_bvav_avg sign flip
2026-05-13 23:58:01,2026-05-14 09:34:00,bull,41519.0,41940.0,421.0,418.0,mtx_bvav_avg sign flip
2026-05-14 09:34:00,2026-05-14 15:52:00,bear,41940.0,41864.0,76.0,73.0,mtx_bvav_avg sign flip
2026-05-14 15:52:00,2026-05-14 16:06:00,bull,41864.0,41772.0,-92.0,-95.0,mtx_bvav_avg sign flip
2026-05-14 16:06:00,2026-05-14 16:34:00,bear,41772.0,41893.0,-121.0,-124.0,mtx_bvav_avg sign flip
2026-05-14 16:34:00,2026-05-14 17:43:01,bull,41893.0,41762.0,-131.0,-134.0,mtx_bvav_avg sign flip
2026-05-14 17:43:01,2026-05-14 18:27:00,bear,41762.0,41900.0,-138.0,-141.0,mtx_bvav_avg sign flip
2026-05-14 18:27:00,2026-05-14 21:30:00,bull,41900.0,41783.0,-117.0,-120.0,mtx_bvav_avg sign flip
2026-05-14 21:30:00,2026-05-14 21:52:00,bear,41783.0,42032.0,-249.0,-252.0,mtx_bvav_avg sign flip
2026-05-14 21:52:00,2026-05-15 09:30:00,bull,42032.0,42082.0,50.0,47.0,mtx_bvav_avg sign flip
2026-05-15 09:30:00,2026-05-15 19:02:00,bear,42082.0,40959.0,1123.0,1120.0,mtx_bvav_avg sign flip
2026-05-15 19:02:00,2026-05-15 19:23:00,bull,40959.0,40849.0,-110.0,-113.0,mtx_bvav_avg sign flip
2026-05-15 19:23:00,2026-05-16 01:52:00,bear,40849.0,40890.0,-41.0,-44.0,mtx_bvav_avg sign flip
2026-05-16 01:52:00,2026-05-16 03:37:00,bull,40890.0,40785.0,-105.0,-108.0,mtx_bvav_avg sign flip
2026-05-16 03:37:00,2026-05-18 09:01:00,bear,40785.0,40557.0,228.0,225.0,mtx_bvav_avg sign flip
2026-05-18 09:01:00,2026-05-18 15:32:00,bull,40557.0,41016.0,459.0,456.0,mtx_bvav_avg sign flip
2026-05-18 15:32:00,2026-05-18 15:41:00,bear,41016.0,40954.0,62.0,59.0,mtx_bvav_avg sign flip
2026-05-18 15:41:00,2026-05-18 18:09:00,bull,40954.0,41003.0,49.0,46.0,mtx_bvav_avg sign flip
2026-05-18 18:09:00,2026-05-18 19:55:00,bear,41003.0,41182.0,-179.0,-182.0,mtx_bvav_avg sign flip
2026-05-18 19:55:00,2026-05-18 21:54:00,bull,41182.0,41178.0,-4.0,-7.0,mtx_bvav_avg sign flip
2026-05-18 21:54:00,2026-05-19 09:49:00,bear,41178.0,40733.0,445.0,442.0,mtx_bvav_avg sign flip
2026-05-19 09:49:00,2026-05-19 09:50:00,bull,40733.0,40708.0,-25.0,-28.0,mtx_bvav_avg sign flip
2026-05-19 09:50:00,2026-05-19 22:21:00,bear,40708.0,39950.0,758.0,755.0,mark to last price
