trade_no,date,single_pnl,single_points,base_mdd_pnl,base_mdd_points,loss_streak_before,win_streak_before,post_mdd_zero_index,plan1_quantity,plan1_cum_pnl,plan1_mdd_pnl,plan2_quantity,plan2_cum_pnl,plan2_mdd_pnl,plan3_quantity,plan3_cum_pnl,plan3_mdd_pnl
1,2025-04-23,-1200.0,-120.0,-1200.0,-120.0,0,0,0,1,-1200.0,0.0,1,-1200.0,0.0,1,-1200.0,0.0
2,2025-04-24,8450.0,845.0,0.0,0.0,1,0,0,1,7250.0,0.0,1,7250.0,0.0,1,7250.0,0.0
3,2025-04-24,18500.0,1850.0,0.0,0.0,0,1,1,1,25750.0,0.0,1,25750.0,0.0,1,25750.0,0.0
4,2025-04-28,-4700.0,-470.0,-4700.0,-470.0,0,2,2,1,21050.0,-4700.0,1,21050.0,-4700.0,1,21050.0,-4700.0
5,2025-04-29,5600.0,560.0,0.0,0.0,1,0,3,1,26650.0,0.0,1,26650.0,0.0,1,26650.0,0.0
6,2025-04-30,50.0,5.0,0.0,0.0,0,1,1,1,26700.0,0.0,1,26700.0,0.0,1,26700.0,0.0
7,2025-04-30,32300.0,3230.0,0.0,0.0,0,2,2,1,59000.0,0.0,1,59000.0,0.0,1,59000.0,0.0
8,2025-05-05,14700.0,1470.0,0.0,0.0,0,3,3,1,73700.0,0.0,1,73700.0,0.0,1,73700.0,0.0
9,2025-05-05,-5450.0,-545.0,-5450.0,-545.0,0,4,0,1,68250.0,-5450.0,1,68250.0,-5450.0,1,68250.0,-5450.0
10,2025-05-05,3750.0,375.0,-1700.0,-170.0,1,0,0,1,72000.0,-1700.0,1,72000.0,-1700.0,1,72000.0,-1700.0
11,2025-05-06,1900.0,190.0,0.0,0.0,0,1,0,1,73900.0,0.0,1,73900.0,0.0,1,73900.0,0.0
12,2025-05-06,-2050.0,-205.0,-2050.0,-205.0,0,2,1,1,71850.0,-2050.0,1,71850.0,-2050.0,1,71850.0,-2050.0
13,2025-05-06,3900.0,390.0,0.0,0.0,1,0,2,1,75750.0,0.0,1,75750.0,0.0,1,75750.0,0.0
14,2025-05-07,-2650.0,-265.0,-2650.0,-265.0,0,1,1,1,73100.0,-2650.0,1,73100.0,-2650.0,1,73100.0,-2650.0
15,2025-05-07,5250.0,525.0,0.0,0.0,1,0,2,1,78350.0,0.0,1,78350.0,0.0,1,78350.0,0.0
16,2025-05-08,-6300.0,-630.0,-6300.0,-630.0,0,1,1,1,72050.0,-6300.0,1,72050.0,-6300.0,1,72050.0,-6300.0
17,2025-05-08,-800.0,-80.0,-7100.0,-710.0,1,0,2,1,71250.0,-7100.0,1,71250.0,-7100.0,1,71250.0,-7100.0
18,2025-05-09,-3450.0,-345.0,-10550.0,-1055.0,2,0,3,1,67800.0,-10550.0,1,67800.0,-10550.0,1,67800.0,-10550.0
