trading_day,side,signal_time,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,opening_high,opening_low,daily_close,daily_sma,gross_points,net_points,reason
2026-05-06,bull,2026-05-06 09:16:00,2026-05-06 09:21:00,2026-05-06 09:26:00,41905.0,41805.0,41805.0,42005.0,41955.0,41617.0,41036.0,38013.65,-100.0,-104.8,stop
2026-05-07,bull,2026-05-07 09:44:00,2026-05-07 09:58:00,2026-05-07 10:01:00,42291.0,42391.0,42191.0,42391.0,42341.0,42002.0,41511.0,38339.4,100.0,95.2,target
2026-05-08,bull,2026-05-08 09:15:00,2026-05-08 09:17:00,2026-05-08 09:33:00,42212.0,42312.0,42112.0,42312.0,42262.0,42052.0,42355.0,38710.65,100.0,95.2,target
2026-05-13,bull,2026-05-13 09:30:00,2026-05-13 09:44:00,2026-05-13 09:48:00,41324.0,41424.0,41224.0,41424.0,41374.0,40980.0,41699.0,39620.2,100.0,95.2,target
2026-05-18,bull,2026-05-18 09:53:00,2026-05-18 10:00:00,2026-05-18 10:14:00,40582.0,40682.0,40482.0,40682.0,40632.0,40148.0,41001.0,40240.9,100.0,95.2,target
2026-05-25,bull,2026-05-25 09:16:00,2026-05-25 09:19:00,2026-05-25 09:24:00,43691.0,43791.0,43591.0,43791.0,43741.0,43001.0,42440.0,40964.7,100.0,95.2,target
2026-05-27,bull,2026-05-27 09:15:00,2026-05-27 09:19:00,2026-05-27 09:21:00,44948.0,45048.0,44848.0,45048.0,44998.0,44418.0,43895.0,41372.25,100.0,95.2,target
2026-05-28,bull,2026-05-28 09:56:00,2026-05-28 10:02:00,2026-05-28 10:05:00,45186.0,45086.0,45086.0,45286.0,45236.0,44852.0,44794.0,41637.65,-100.0,-104.8,stop
2026-05-29,bull,2026-05-29 09:40:00,2026-05-29 09:49:00,2026-05-29 09:55:00,44930.0,45030.0,44830.0,45030.0,44980.0,44654.0,43846.0,41861.95,100.0,95.2,target
2026-06-01,bull,2026-06-01 09:30:00,2026-06-01 09:33:00,2026-06-01 09:36:00,45914.0,46014.0,45814.0,46014.0,45964.0,45405.0,45292.0,42121.85,100.0,95.2,target
2026-06-03,bull,2026-06-03 09:31:00,2026-06-03 09:37:00,2026-06-03 09:39:00,46850.0,46750.0,46750.0,46950.0,46900.0,46703.0,46110.0,42626.05,-100.0,-104.8,stop
2026-06-05,bull,2026-06-05 10:28:00,2026-06-05 10:30:00,2026-06-05 10:33:00,45677.0,45777.0,45577.0,45777.0,45727.0,45108.0,46303.0,43091.05,100.0,95.2,target
2026-06-08,bull,2026-06-08 10:05:00,2026-06-08 10:09:00,2026-06-08 10:11:00,43302.0,43402.0,43202.0,43402.0,43352.0,42200.0,45202.0,43254.35,100.0,95.2,target
2026-06-10,bull,2026-06-10 09:16:00,2026-06-10 09:18:00,2026-06-10 09:20:00,44366.0,44266.0,44266.0,44466.0,44416.0,43715.0,44672.0,43458.35,-100.0,-104.8,stop
2026-06-12,bear,2026-06-12 09:22:00,2026-06-12 09:50:00,2026-06-12 09:54:00,44350.0,44250.0,44450.0,44250.0,44939.0,44300.0,43241.0,43636.7,100.0,95.2,target
2026-06-18,bull,2026-06-18 10:13:00,2026-06-18 10:25:00,2026-06-18 10:54:00,46516.0,46416.0,46416.0,46616.0,46566.0,46314.0,46039.0,44608.0,-100.0,-104.8,stop
2026-06-26,bull,2026-06-26 09:16:00,2026-06-26 09:29:00,2026-06-26 09:30:00,45755.0,45855.0,45655.0,45855.0,45805.0,45405.0,46548.0,45749.45,100.0,95.2,target
2026-07-02,bull,2026-07-02 09:19:00,2026-07-02 09:21:00,2026-07-02 09:26:00,46420.0,46520.0,46320.0,46520.0,46470.0,45832.0,47230.0,45732.05,100.0,95.2,target
2026-07-03,bull,2026-07-03 09:19:00,2026-07-03 09:31:00,2026-07-03 09:33:00,46188.0,46288.0,46088.0,46288.0,46238.0,45606.0,46613.0,45747.55,100.0,95.2,target
2026-07-07,bull,2026-07-07 09:46:00,2026-07-07 09:56:00,2026-07-07 09:58:00,47090.0,46990.0,46990.0,47190.0,47140.0,46581.0,46875.0,46027.45,-100.0,-104.8,stop
2026-07-08,bear,2026-07-08 09:28:00,2026-07-08 09:45:00,2026-07-08 09:55:00,45621.0,45521.0,45721.0,45521.0,45962.0,45571.0,45759.0,46081.8,100.0,95.2,target
2026-07-14,bear,2026-07-14 09:40:00,2026-07-14 09:43:00,2026-07-14 09:46:00,44834.0,44734.0,44934.0,44734.0,45465.0,44784.0,46275.0,46413.45,100.0,95.2,target
2026-07-16,bear,2026-07-16 09:25:00,2026-07-16 09:27:00,2026-07-16 09:29:00,45388.0,45288.0,45488.0,45288.0,45637.0,45338.0,46066.0,46388.95,100.0,95.2,target
2026-07-17,bear,2026-07-17 09:33:00,2026-07-17 09:35:00,2026-07-17 09:46:00,44094.0,43994.0,44194.0,43994.0,44513.0,44044.0,45715.0,46372.75,100.0,95.2,target
