timestamp,action,side,price,note,signal,trend,tx_bvav,mtx_bvav,mtx_bvav_avg,bbr,timeframe,tt_short,tt_long
2026-05-06 21:30:04,enter,bull,41745.0,多單進場：價格 41745.0，週期=15分，強度=strong，TT短線=41637.5629144639，TT長線=41454.4851169603，訊號=bull，趨勢=gold，BBR=0.9791543612,bull,gold,202,920,827,0.9791543612,15,41637.5629144639,41454.4851169603
2026-05-06 21:45:12,exit,bull,41879.0,多單出場：價格 41879.0，進場價 41745.0，持有至 2026-05-06 21:30:04，出場原因：停利，訊號=bull，趨勢=gold,bull,gold,318,1420,1087,1.0033630229,15,41647.0310354653,41462.891352268
2026-05-06 22:45:10,enter,bull,41889.0,多單進場：價格 41889.0，週期=15分，強度=strong，TT短線=41672.695707974，TT長線=41490.4079845052，訊號=bull，趨勢=gold，BBR=1.0000308339,bull,gold,187,996,445,1.0000308339,15,41672.695707974,41490.4079845052
2026-05-06 23:30:05,exit,bull,42014.0,多單出場：價格 42014.0，進場價 41889.0，持有至 2026-05-06 22:45:10，出場原因：停利，訊號=bull，趨勢=gold,bull,gold,687,2886,2097,1.019589132,15,41702.9601687694,41516.5608583874
2026-05-07 09:45:01,enter,bull,42362.0,多單進場：價格 42362.0，週期=15分，強度=strong，TT短線=41990.474804705，TT長線=41766.4572080675，訊號=bull，趨勢=gold，BBR=1.0472117139,bull,gold,277,821,-89,1.0472117139,15,41990.474804705,41766.4572080675
2026-05-07 10:01:13,exit,bull,42329.0,多單出場：價格 42329.0，進場價 42362.0，持有至 2026-05-07 09:45:01，出場原因：停損，訊號=bull，趨勢=death,bull,death,331,1006,1206,1.0395224229,15,42003.7503025597,41777.5966692939
2026-05-07 10:30:09,enter,bull,42427.0,多單進場：價格 42427.0，週期=15分，強度=strong，TT短線=42029.7771920207，TT長線=41799.7030639888，訊號=bull，趨勢=gold，BBR=1.054473186,bull,gold,479,1079,772,1.054473186,15,42029.7771920207,41799.7030639888
2026-05-07 10:45:04,exit,bull,42333.0,多單出場：價格 42333.0，進場價 42427.0，持有至 2026-05-07 10:30:09，出場原因：停損，訊號=bull，趨勢=death,bull,death,300,1012,1117,1.0355540353,15,42041.6682825297,41810.2633993553
2026-05-07 11:45:01,enter,bull,42414.0,多單進場：價格 42414.0，週期=15分，強度=strong，TT短線=42088.204571423，TT長線=41852.2269046895，訊號=bull，趨勢=gold，BBR=1.0440591632,bull,gold,369,1009,850,1.0440591632,15,42088.204571423,41852.2269046895
2026-05-07 12:00:14,exit,bull,42369.0,多單出場：價格 42369.0，進場價 42414.0，持有至 2026-05-07 11:45:01，出場原因：停損，訊號=bull，趨勢=gold,bull,gold,461,1326,1202,1.0340708936,15,42099.2161568574,41862.4600352897
2026-05-07 13:15:05,enter,bull,42386.0,多單進場：價格 42386.0，週期=15分，強度=strong，TT短線=42140.734708884，TT長線=41906.7544843654，訊號=bull，趨勢=gold，BBR=1.0289054382,bull,gold,637,1084,704,1.0289054382,15,42140.734708884,41906.7544843654
2026-05-07 13:30:07,exit,bull,42307.0,多單出場：價格 42307.0，進場價 42386.0，持有至 2026-05-07 13:15:05，出場原因：停損，訊號=bull，趨勢=death,bull,death,258,344,674,1.0129315462,15,42147.2549163788,41914.6801381404
2026-05-07 13:46:06,enter,bull,42355.0,多單進場：價格 42355.0，週期=15分，強度=strong，TT短線=42155.4017824031，TT長線=41923.3993433257，訊號=bull，趨勢=gold，BBR=1.0199732557,bull,gold,657,1056,512,1.0199732557,15,42155.4017824031,41923.3993433257
2026-05-07 15:15:06,exit,bull,42542.0,多單出場：價格 42542.0，進場價 42355.0，持有至 2026-05-07 13:46:06，出場原因：停利，訊號=bull，趨勢=gold,bull,gold,433,1146,761,1.0519903937,15,42170.5624968187,41935.6488612796
2026-05-08 09:15:01,enter,bull,42254.0,多單進場：價格 42254.0，週期=15分，強度=strong，TT短線=42073.8121800484，TT長線=42046.404094032，訊號=bull，趨勢=gold，mtx_bvav=972，BBR=0.9366309509,bull,gold,756,972,331,0.9366309509,15,42073.8121800484,42046.404094032
2026-05-08 09:45:04,exit,bull,42179.0,多單出場：價格 42179.0，進場價 42254.0，持有至 2026-05-08 09:15:01，出場原因：停損，訊號=bull，趨勢=death,bull,death,297,570,922,0.9216101949,15,42085.1030543238,42053.2532619947
2026-05-08 22:00:14,enter,bull,42175.0,多單進場：價格 42175.0，週期=15分，強度=strong，TT短線=41892.5056197359，TT長線=41936.4829159597，訊號=bull，趨勢=gold，mtx_bvav=1788，BBR=0.8924188578，動態停損=110.0，動態停利=220.0，估計成本=3.0,bull,gold,260,1788,1658,0.8924188578,15,41892.5056197359,41936.4829159597
2026-05-08 22:15:05,exit,bull,42094.0,多單出場：價格 42094.0，進場價 42175.0，持有至 2026-05-08 22:00:14，出場原因：MXF翻轉，訊號=bull，趨勢=death，動態停損=110.0，動態停利=220.0，估計成本=3.0,bull,death,37,1296,1727,0.8772166415,15,41900.4073601384,41939.6020661387
